timed,nottimed
88.523,109.867
120.059,89.835
174.327,146.618
78.588,151.129
135.594,56.725
145.26,73.458
134.721,112.412
145.572,97.488
64.691,162.191
128.784,88.609
82.682,111.97
144.707,168.661
123.692,134.088
160.036,99.581
122.335,128.271
77.641,77.683
122.166,137.785
126.243,144.919
140.772,115.312
96.493,254.609
160.567,89.663
116.621,105.367
183.463,138.018
151.049,216.586
87.229,121.747
84.989,73.676
112.562,103.663
200.314,111.913
71.24,108.826
116.278,134.295
158.819,158.369
137.034,146.739
90.983,153.207
105.23,101.579
111.446,128.815
100.87,77.427
188.257,73.652
191.98,233.723
162.205,121.857
229.262,143.352
157.547,185.121
153.272,151.58
87.483,231.552
81.634,86.776
133.746,138.274
119.951,152.15
148.558,189.603
118.649,121.177
188.257,84.79
104.94,208.807
85.044,134.856
88.929,303.202
142.201,132.918
167.49,126.188
111.161,123.333
185.576,180.495
93.418,83.04
124.851,131.951
169.728,120.96
129.351,115.878
122.868,115.484
141.135,142.011
278.616,154.229
127.049,184.464
94.257,200.391
134.696,195.303
83.502,135.566
210.061,139.092
185.557,226.564
129.641,89.38
171.189,238.7
249.022,162.283
273.807,118.7
151.496,274.993
169.104,141.578
119.828,189.446
145.315,91.013
91.894,192.474
78.615,164.353
214.405,113.943
191.555,117.213
159.478,161.551
93.73,335.945
71.096,234.525
104.398,205.567
147.118,160.501
109.683,120.089
83.805,99.132
109.655,204.466
109.909,121.656
118.147,77.026
207.062,81.207
98.285,113.228
165.05,164.844
144.738,103.533
231.724,229.292
151.69,168.155
103.199,308.125
279.556,228.448
116.669,203.865
126.024,191.672
96.532,147.506
131.103,142.326
143.635,182.937
149.701,125.865
141.974,111.188
591.428,118.506
137.664,149.328
250.292,252.406
203.011,172.12
95.189,149.365
137.079,79.248
143.355,126.608
161.525,158.976
132.66,292.697
106.034,146.463
106.718,160.138
201.881,111.817
112.056,206.075
211.597,159.628
207.417,182.616
174.47,143.757
165.544,353.023
201.619,390.631
224.704,157.008
252.007,156.995
172.228,135.108
106.882,136.186
338.987,342.611
89.898,139.622
118.352,172.265
165.642,120.034
291.39,160.348
87.965,228.035
120.356,271.105
350.215,130.344
116.364,147.591
145.858,156.15
125.507,121.023
210.927,113.089
188.585,157.625
277.863,266.561
242.937,230.881
616.3,122.456
249.391,315.709
196.709,85.13
140.937,265.422
245.95,238.751
159.247,182.78
144.764,189.125
94.277,138.078
76.506,157.982
255.367,214.858
176.624,267.988
148.475,171.412
244.93,129.479
150.49,150.505
184.887,189.435
279.116,547.351
238.501,177.208
227.657,225.359
91.516,308.779
161.669,178.881
155.423,176.221
282.368,178.247
419.465,147.611
192.949,68.823
201.584,337.081
299.996,226.694
214.441,153.952
325.981,177.104
185.172,142.809
91.674,406
145.814,137.689
465.364,179.747
107.252,111.593
296.335,305.217
797.296,222.054
125.102,147.72
350.878,280.924
341.158,169.914
145.252,114.261
192.726,179.302
117.158,207.291
136.702,107.862
150.048,256.059
212.898,227.876
,90.027
,90.198
,149.274
,169.117
